player,pts_per_game,ast_per_game,trb_per_game,mp_per_game,impact_score
A.C. Green,5.0,1.0,5.9,23.5,0.506
A.J. Green,8.9,1.7,2.55,25.9,0.508
A.J. Price,7.7,3.6,2.0,22.4,0.594
Aaron Brooks,11.683,3.483,1.917,24.633,0.694
Aaron Gordon,14.22,2.86,6.41,30.13,0.78
Aaron Holiday,9.5,3.4,2.4,24.5,0.624
Aaron McKie,10.0,3.54,3.78,28.76,0.602
Aaron Nesmith,12.025,1.475,3.95,26.825,0.651
Aaron Wiggins,9.9,1.633,3.533,22.967,0.656
Aaron Williams,10.2,1.1,7.2,28.5,0.649
Ace Bailey,13.8,1.8,4.2,27.6,0.717
Adam Morrison,11.8,2.1,2.9,29.8,0.564
Adonal Foyle,5.16,0.6,5.92,22.84,0.511
Adrian Griffin,6.167,2.0,4.5,24.833,0.51
Ajay Mitchell,13.6,3.6,3.3,25.8,0.795
Al Harrington,15.179,1.807,6.043,30.943,0.744
Al Horford,12.325,3.181,7.625,30.85,0.75
Al Jefferson,18.32,1.75,9.65,33.02,0.9
Al Thornton,11.78,1.22,4.12,28.34,0.604
Al-Farouq Aminu,8.3,1.371,6.743,27.3,0.601
Alan Anderson,8.433,1.233,2.433,23.1,0.524
Alan Henderson,11.85,0.8,6.3,29.3,0.647
Alec Burks,12.962,2.462,3.9,25.3,0.764
Aleksej Pokusevski,7.9,2.15,4.95,22.2,0.676
Alex Caruso,7.375,3.3,3.3,25.3,0.552
Alex Len,8.58,0.92,6.76,21.18,0.768
Alex Sarr,14.65,2.55,6.95,27.15,0.89
Alexey Shved,8.6,3.7,2.3,23.9,0.611
Allan Houston,19.96,2.42,3.08,37.38,0.681
Allen Crabbe,10.95,1.275,3.325,27.525,0.565
Allen Iverson,26.75,6.15,3.525,41.4,0.88
Allonzo Trier,10.9,1.9,3.1,22.8,0.697
Alonzo Gee,7.74,1.18,3.92,25.34,0.507
Alonzo Mourning,13.45,0.8,6.975,26.975,0.787
Alperen Şengün,17.0,4.52,8.6,29.38,1.025
Alvin Williams,10.9,5.0,2.95,32.4,0.582
